Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10061	30/06/2008	Richard	I	FS	515.2	Fuel Surcharge	0	0	0	0	New Plymouth Motorcycles Flyer	S	0	I	182

C10062	30/06/2008	2280946-87050	I	CI/1	895	Bay News - Job 7383 - Delivery 25 Jun 2008 - 85 grams	0.0855	0.0962	76.523	86.088	Bay News	S	9.56	I	201
C10062	30/06/2008	2280946-87050	I	FS	76.523	Fuel Surcharge	0	0	0	0	Bay News	S	0	I	201

C10063	30/06/2008	2278249-86042	I	CI/1	6667	Hawkesbay Country Scene - Job 7294 - Delivery 11 Jun 2008 - 53 grams	0.0855	0.0962	570.029	641.283	Hawkesbay Country Scene	S	71.25	I	201
C10063	30/06/2008	2278249-86042	I	FS	570.029	Fuel Surcharge	0	0	0	0	Hawkesbay Country Scene	S	0	I	201

C10064	30/06/2008	2278124-86381	I	CI/1	1315	Metropol - Job 7348 - Delivery 06 Jun 2008 - 214 grams	0.15	0.1687	197.25	221.906	Metropol	S	24.66	I	201
C10064	30/06/2008	2278124-86381	I	CI/2	1315	Metropol - Job 7349 - Delivery 20 Jun 2008 - 186 grams	0.13	0.1463	170.95	192.319	Metropol	S	21.37	I	201
C10064	30/06/2008	2278124-86381	I	FS	368.2	Fuel Surcharge	0	0	0	0	Metropol	S	0	I	201

C10065	30/06/2008	2278245-86523	I	CI/1	1530	Napier Mail - Job 7330 - Delivery 04 Jun 2008 - 123 grams	0.12	0.135	183.6	206.55	Napier Mail	S	22.95	I	201
C10065	30/06/2008	2278245-86523	I	CI/2	1530	Napier Mail - Job 7331 - Delivery 11 Jun 2008 - 86 grams	0.0955	0.1074	146.115	164.379	Napier Mail	S	18.26	I	201
C10065	30/06/2008	2278245-86523	I	CI/3	1530	Napier Mail - Job 7332 - Delivery 18 Jun 2008 - 75 grams	0.0955	0.1074	146.115	164.379	Napier Mail	S	18.26	I	201
C10065	30/06/2008	2278245-86523	I	CI/4	1530	Napier Mail - Job 7333 - Delivery 25 Jun 2008 - 75 grams	0.0955	0.1074	146.115	164.379	Napier Mail	S	18.26	I	201
C10065	30/06/2008	2278245-86523	I	FS	621.945	Fuel Surcharge	0	0	0	0	Napier Mail	S	0	I	201

C10066	30/06/2008	2281653-87157	I	CI/1	7304	North Canterbury News - Job 7405 - Delivery 24 Jun 2008 - 96 grams	0.0955	0.1074	697.532	784.724	North Canterbury News	S	87.19	I	201
C10066	30/06/2008	2281653-87157	I	CI/2	6840	North Canterbury News - Job 7388 - Delivery 17 Jun 2008 - 96 grams	0.0955	0.1074	653.22	734.873	North Canterbury News	S	81.65	I	201
C10066	30/06/2008	2281653-87157	I	FS	1350.752	Fuel Surcharge	0	0	0	0	North Canterbury News	S	0	I	201

C10067	30/06/2008	2278254-86575	I	CI/1	3135	Property Outlook - Job 7342 - Delivery 05 Jun 2008 - 20 grams	0.0501	0.0564	157.064	176.697	Property Outlook	S	19.63	I	201
C10067	30/06/2008	2278254-86575	I	CI/2	3135	Property Outlook - Job 7343 - Delivery 19 Jun 2008 - 20 grams	0.0501	0.0564	157.064	176.697	Property Outlook	S	19.63	I	201
C10067	30/06/2008	2278254-86575	I	FS	314.127	Fuel Surcharge	0	0	0	0	Property Outlook	S	0	I	201

C10068	30/06/2008	2278241-86511	I	CI/1	770	Rangitikei Mail - Job 7329 - Delivery 24 Jun 2008 - 65 grams	0.0855	0.0962	65.835	74.064	Rangitikei Mail	S	8.23	I	201
C10068	30/06/2008	2278241-86511	I	CI/2	770	Rangitikei Mail - Job 7326 - Delivery 03 Jun 2008 - 67 grams	0.0855	0.0962	65.835	74.064	Rangitikei Mail	S	8.23	I	201
C10068	30/06/2008	2278241-86511	I	CI/3	770	Rangitikei Mail - Job 7327 - Delivery 10 Jun 2008 - 65 grams	0.0855	0.0962	65.835	74.064	Rangitikei Mail	S	8.23	I	201
C10068	30/06/2008	2278241-86511	I	CI/4	770	Rangitikei Mail - Job 7328 - Delivery 17 Jun 2008 - 65 grams	0.0855	0.0962	65.835	74.064	Rangitikei Mail	S	8.23	I	201
C10068	30/06/2008	2278241-86511	I	FS	263.34	Fuel Surcharge	0	0	0	0	Rangitikei Mail	S	0	I	201

C10069	30/06/2008	2277967-86405	I	CI/1	2341	Scene Matamata - Job 7350 - Delivery 11 Jun 2008 - 120 grams	0.12	0.135	280.92	316.035	Scene Matamata	S	35.12	I	201
C10069	30/06/2008	2277967-86405	I	CI/2	2341	Scene Matamata - Job 7351 - Delivery 25 Jun 2008 - 90 grams	0.0955	0.1074	223.566	251.512	Scene Matamata	S	27.95	I	201
C10069	30/06/2008	2277967-86405	I	FS	504.486	Fuel Surcharge	0	0	0	0	Scene Matamata	S	0	I	201

C10070	30/06/2008	2281659-87156	I	CI/1	6364	Selwyn Times - Job 7389 - Delivery 17 Jun 2008 - 72 grams	0.0955	0.1074	607.762	683.732	Selwyn Times	S	75.97	I	201
