Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Total_GST_Inc	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C83108	30/09/2012		I	CI/3	2265.000	Matamata Chronicle - Job 73027 - Delivery 19 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	Fairfax - WRCN
C83108	30/09/2012		I	CI/4	2265.000	Matamata Chronicle - Job 73028 - Delivery 26 Sep 2012 - 98 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	223.33	256.83	Matamata Chronicle	S	33.50	I	Fairfax - WRCN

C83109	30/09/2012		I	CI/1	2876.000	Nth Waikato News - Job 72499 - Delivery 05 Sep 2012 - 44 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	Fairfax - WRCN
C83109	30/09/2012		I	CI/2	2876.000	Nth Waikato News - Job 72500 - Delivery 12 Sep 2012 - 33 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	Fairfax - WRCN
C83109	30/09/2012		I	CI/3	2876.000	Nth Waikato News - Job 72925 - Delivery 19 Sep 2012 - 44 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	Fairfax - WRCN
C83109	30/09/2012		I	CI/4	2876.000	Nth Waikato News - Job 72926 - Delivery 26 Sep 2012 - 33 grams. Includes folding fee 0.0100 cents.  	0.0875	0.1006	251.65	289.40	Nth Waikato News	S	37.75	I	Fairfax - WRCN

C83110	30/09/2012		I	CI/1	3457.000	Piako Post - Job 72504 - Delivery 05 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	340.86	391.99	Piako Post	S	51.13	I	Fairfax - WRCN
C83110	30/09/2012		I	CI/2	3457.000	Piako Post - Job 72505 - Delivery 12 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	340.86	391.99	Piako Post	S	51.13	I	Fairfax - WRCN
C83110	30/09/2012		I	CI/3	3457.000	Piako Post - Job 72909 - Delivery 19 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	340.86	391.99	Piako Post	S	51.13	I	Fairfax - WRCN
C83110	30/09/2012		I	CI/4	3457.000	Piako Post - Job 72910 - Delivery 26 Sep 2012 - 98 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	340.86	391.99	Piako Post	S	51.13	I	Fairfax - WRCN

C83111	30/09/2012		I	CI/1	2885.000	Rotorua Review - Job 72509 - Delivery 05 Sep 2012 - 76 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	Fairfax - WRCN
C83111	30/09/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	Fairfax - WRCN
C83111	30/09/2012		I	CI/2	2885.000	Rotorua Review - Job 72510 - Delivery 12 Sep 2012 - 76 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	Fairfax - WRCN
C83111	30/09/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	Fairfax - WRCN
C83111	30/09/2012		I	CI/3	2885.000	Rotorua Review - Job 72913 - Delivery 19 Sep 2012 - 87 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	Fairfax - WRCN
C83111	30/09/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	Fairfax - WRCN
C83111	30/09/2012		I	CI/4	2885.000	Rotorua Review - Job 72914 - Delivery 26 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	284.46	327.13	Rotorua Review	S	42.67	I	Fairfax - WRCN
C83111	30/09/2012		I	C150	2.000	Bundles	1.5000	1.7250	3.00	3.45	Rotorua Review	S	0.45	I	Fairfax - WRCN

C83112	30/09/2012		I	CI/1	2017.000	Sth Waikato News - Job 72514 - Delivery 05 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	Fairfax - WRCN
C83112	30/09/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	Fairfax - WRCN
C83112	30/09/2012		I	CI/2	2017.000	Sth Waikato News - Job 72515 - Delivery 12 Sep 2012 - 55 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	Fairfax - WRCN
C83112	30/09/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	Fairfax - WRCN
C83112	30/09/2012		I	CI/3	2017.000	Sth Waikato News - Job 72516 - Delivery 19 Sep 2012 - 66 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	Fairfax - WRCN
C83112	30/09/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	Fairfax - WRCN
C83112	30/09/2012		I	CI/4	2017.000	Sth Waikato News - Job 72917 - Delivery 26 Sep 2012 - 82 grams. Includes folding fee 0.0100 cents.  	0.0986	0.1134	198.88	228.71	Sth Waikato News	S	29.83	I	Fairfax - WRCN
C83112	30/09/2012		I	C100	3.000	Bundles	1.0000	1.1500	3.00	3.45	Sth Waikato News	S	0.45	I	Fairfax - WRCN

C83113	30/09/2012		I	CI/1	11270.000	Waikato Farmers Newspaper - Job 72517 - Delivery IOA - 131 grams. Includes folding fee 0.0100 cents.  Includes Linehaul.	0.1540	0.1771	1735.58	1995.92	Waikato Farmers Newspaper	S	260.34	I	Fairfax - WRCN

C83114	30/09/2012	16600	I	CI/1	26000.000	FIL The Dairy Farmer Spring  2012 - Job 72354 - Delivery 03 Sep 2012 - 35 grams.   Includes Linehaul.	0.1089	0.1252	2831.40	3256.11	FIL The Dairy Farmer Spring  2012	S	424.71	I	Farmers Industries (

C83115	30/09/2012		I	CI/1	4678.000	Fishing & Shooting Pro Shops - Job 72712 - Delivery 24 Sep 2012 - 53 grams.   Includes Linehaul.	0.1354	0.1557	633.40	728.41	Fishing & Shooting Pro Shops	S	95.01	I	Fiordland Frontier
C83115	30/09/2012		I	CI/2	1.000	Fishing & Shooting Pro Shops - Job 72712 - Delivery 24 Sep 2012 - 53 grams. Bags Boxes and Counter. Includes Linehaul.	394.0000	453.1000	394.00	453.10	Fishing & Shooting Pro Shops	S	59.10	I	Fiordland Frontier

C83116	30/09/2012		I	CI/1	3745.000	GEAFT NZ Shed 5 MMT Flyer - Job 73036 - Delivery IOA - 10 grams.   Includes Linehaul.	0.0000	0.0000	0.00	0.00	GEAFT NZ Shed 5 MMT Flyer	S	0.00	I	GEA Farm Technologie

C83117	30/09/2012		I	CI/1	1100.000	Quality Sheds - Job 73132 - Delivery IOA - 5 grams.   Includes Linehaul.	0.0971	0.1117	106.81	122.83	Quality Sheds	S	16.02	I	H2 Group

